Model,G703,,,,,,
UI_width,21,,,,,,
UI_height,8,,,,,,
,,,,,,,
Parameters,grid_x,grid_y,leftTop_x,leftTop_x,rightBottom_x,rightBottom_y,Z_index
LED 1,0,0,0,0,0,0,1
LED 2,0,1,0,0,0,0,1
LED 3,0,2,0,0,0,0,1
LED 4,0,3,0,0,0,0,1
LED 5,0,4,0,0,0,0,1
LED 6,0,5,0,0,0,0,1
LED 7,0,6,0,0,0,0,1
LED 8,0,7,0,0,0,0,1
LED 9,0,8,0,0,0,0,1
LED 10,0,9,0,0,0,0,1
LED 11,0,10,0,0,0,0,1
LED 12,0,11,0,0,0,0,1
LED 13,0,12,0,0,0,0,1
LED 14,0,13,0,0,0,0,1
LED 15,0,14,0,0,0,0,1
LED 16,0,15,0,0,0,0,1
LED 17,0,16,0,0,0,0,1
LED 18,0,17,0,0,0,0,1
LED 19,0,18,0,0,0,0,1
LED 20,0,19,0,0,0,0,1
LED 21,0,20,0,0,0,0,1
LED 22,1,0,0,0,0,0,1
LED 23,1,1,0,0,0,0,1
LED 24,1,2,0,0,0,0,1
LED 25,1,3,0,0,0,0,1
LED 26,1,4,0,0,0,0,1
LED 27,1,5,0,0,0,0,1
LED 28,1,6,0,0,0,0,1
LED 29,1,7,0,0,0,0,1
LED 30,1,8,0,0,0,0,1
LED 31,1,9,0,0,0,0,1
LED 32,1,10,0,0,0,0,1
LED 33,1,11,0,0,0,0,1
LED 34,1,12,0,0,0,0,1
LED 35,1,13,0,0,0,0,1
LED 36,1,14,0,0,0,0,1
LED 37,1,15,0,0,0,0,1
LED 38,1,16,0,0,0,0,1
LED 39,1,17,0,0,0,0,1
LED 40,1,18,0,0,0,0,1
LED 41,1,19,0,0,0,0,1
LED 42,1,20,0,0,0,0,1
LED 43,2,0,0,0,0,0,1
LED 44,2,1,0,0,0,0,1
LED 45,2,2,0,0,0,0,1
LED 46,2,3,0,0,0,0,1
LED 47,2,4,0,0,0,0,1
LED 48,2,5,0,0,0,0,1
LED 49,2,6,0,0,0,0,1
LED 50,2,7,0,0,0,0,1
LED 51,2,8,0,0,0,0,1
LED 52,2,9,0,0,0,0,1
LED 53,2,10,0,0,0,0,1
LED 54,2,11,0,0,0,0,1
LED 55,2,12,0,0,0,0,1
LED 56,2,13,0,0,0,0,1
LED 57,2,14,0,0,0,0,1
LED 58,2,15,0,0,0,0,1
LED 59,2,16,0,0,0,0,1
LED 60,2,17,0,0,0,0,1
LED 61,2,18,0,0,0,0,1
LED 62,2,19,0,0,0,0,1
LED 63,2,20,0,0,0,0,1
LED 64,3,0,0,0,0,0,1
LED 65,3,1,0,0,0,0,1
LED 66,3,2,0,0,0,0,1
LED 67,3,3,0,0,0,0,1
LED 68,3,4,0,0,0,0,1
LED 69,3,5,0,0,0,0,1
LED 70,3,6,0,0,0,0,1
LED 71,3,7,0,0,0,0,1
LED 72,3,8,0,0,0,0,1
LED 73,3,9,0,0,0,0,1
LED 74,3,10,0,0,0,0,1
LED 75,3,11,0,0,0,0,1
LED 76,3,12,0,0,0,0,1
LED 77,3,13,0,0,0,0,1
LED 78,3,14,0,0,0,0,1
LED 79,3,15,0,0,0,0,1
LED 80,3,16,0,0,0,0,1
LED 81,3,17,0,0,0,0,1
LED 82,3,18,0,0,0,0,1
LED 83,3,19,0,0,0,0,1
LED 84,3,20,0,0,0,0,1
LED 85,4,0,0,0,0,0,1
LED 86,4,1,0,0,0,0,1
LED 87,4,2,0,0,0,0,1
LED 88,4,3,0,0,0,0,1
LED 89,4,4,0,0,0,0,1
LED 90,4,5,0,0,0,0,1
LED 91,4,6,0,0,0,0,1
LED 92,4,7,0,0,0,0,1
LED 93,4,8,0,0,0,0,1
LED 94,4,9,0,0,0,0,1
LED 95,4,10,0,0,0,0,1
LED 96,4,11,0,0,0,0,1
LED 97,4,12,0,0,0,0,1
LED 98,4,13,0,0,0,0,1
LED 99,4,14,0,0,0,0,1
LED 100,4,15,0,0,0,0,1
LED 101,4,16,0,0,0,0,1
LED 102,4,17,0,0,0,0,1
LED 103,4,18,0,0,0,0,1
LED 104,4,19,0,0,0,0,1
LED 105,4,20,0,0,0,0,1
LED 106,5,0,0,0,0,0,1
LED 107,5,1,0,0,0,0,1
LED 108,5,2,0,0,0,0,1
LED 109,5,3,0,0,0,0,1
LED 110,5,4,0,0,0,0,1
LED 111,5,5,0,0,0,0,1
LED 112,5,6,0,0,0,0,1
LED 113,5,7,0,0,0,0,1
LED 114,5,8,0,0,0,0,1
LED 115,5,9,0,0,0,0,1
LED 116,5,10,0,0,0,0,1
LED 117,5,11,0,0,0,0,1
LED 118,5,12,0,0,0,0,1
LED 119,5,13,0,0,0,0,1
LED 120,5,14,0,0,0,0,1
LED 121,5,15,0,0,0,0,1
LED 122,5,16,0,0,0,0,1
LED 123,5,17,0,0,0,0,1
LED 124,5,18,0,0,0,0,1
LED 125,5,19,0,0,0,0,1
LED 126,5,20,0,0,0,0,1
LED 127,6,0,0,0,0,0,1
LED 128,6,1,0,0,0,0,1
LED 129,6,2,0,0,0,0,1
LED 130,6,3,0,0,0,0,1
LED 131,6,4,0,0,0,0,1
LED 132,6,5,0,0,0,0,1
LED 133,6,6,0,0,0,0,1
LED 134,6,7,0,0,0,0,1
LED 135,6,8,0,0,0,0,1
LED 136,6,9,0,0,0,0,1
LED 137,6,10,0,0,0,0,1
LED 138,6,11,0,0,0,0,1
LED 139,6,12,0,0,0,0,1
LED 140,6,13,0,0,0,0,1
LED 141,6,14,0,0,0,0,1
LED 142,6,15,0,0,0,0,1
LED 143,6,16,0,0,0,0,1
LED 144,6,17,0,0,0,0,1
LED 145,6,18,0,0,0,0,1
LED 146,6,19,0,0,0,0,1
LED 147,6,20,0,0,0,0,1
LED 148,7,0,0,0,0,0,1
LED 149,7,1,0,0,0,0,1
LED 150,7,2,0,0,0,0,1
LED 151,7,3,0,0,0,0,1
LED 152,7,4,0,0,0,0,1
LED 153,7,5,0,0,0,0,1
LED 154,7,6,0,0,0,0,1
LED 155,7,7,0,0,0,0,1
LED 156,7,8,0,0,0,0,1
LED 157,7,9,0,0,0,0,1
LED 158,7,10,0,0,0,0,1
LED 159,7,11,0,0,0,0,1
LED 160,7,12,0,0,0,0,1
LED 161,7,13,0,0,0,0,1
LED 162,7,14,0,0,0,0,1
LED 163,7,15,0,0,0,0,1
LED 164,7,16,0,0,0,0,1
LED 165,7,17,0,0,0,0,1
LED 166,7,18,0,0,0,0,1
LED 167,7,19,0,0,0,0,1
LED 168,7,20,0,0,0,0,1
