Model,G703,,,,,,,,
UI_width,29,,,,,,,,
UI_height,19,,,,,,,,
,,,,,,,,,
Model,G703,,,,,,,,
UI_width,21,,,,,,,,
UI_height,8,,,,,,,,
,,,,,,,,,
Parameters,grid_x,grid_y,exist,leftTop_x,leftTop_y,rightBottom_x,rightBottom_y,Z_index,Note
LED 1,0,0,0,0,0,0,0,1,
LED 2,0,1,0,0,0,0,0,1,
LED 3,0,2,1,340,270,362,281,1,
LED 4,0,3,1,366,270,388,281,1,
LED 5,0,4,1,392,270,414,281,1,
LED 6,0,5,1,418,270,440,281,1,
LED 7,0,6,0,0,0,0,0,1,
LED 8,0,7,0,0,0,0,0,1,
LED 9,0,8,0,0,0,0,0,1,
LED 10,0,9,0,0,0,0,0,1,
LED 11,0,10,0,0,0,0,0,1,
LED 12,0,11,0,0,0,0,0,1,
LED 13,0,12,0,0,0,0,0,1,
LED 14,0,13,0,0,0,0,0,1,
LED 15,0,14,0,0,0,0,0,1,
LED 16,0,15,0,0,0,0,0,1,
LED 17,0,16,0,0,0,0,0,1,
LED 18,0,17,0,0,0,0,0,1,
LED 19,0,18,0,0,0,0,0,1,
LED 20,0,19,0,0,0,0,0,1,
LED 21,0,20,0,0,0,0,0,1,
LED 22,1,0,1,289,291,311,305,1,
LED 23,1,1,0,0,0,0,0,1,
LED 24,1,2,1,340,291,362,305,1,
LED 25,1,3,1,366,291,388,305,1,
LED 26,1,4,1,392,291,414,305,1,
LED 27,1,5,1,418,291,440,305,1,
LED 28,1,6,0,0,0,0,0,1,
LED 29,1,7,1,452,291,474,305,1,
LED 30,1,8,1,478,291,500,305,1,
LED 31,1,9,1,503,291,525,305,1,
LED 32,1,10,1,529,291,551,305,1,
LED 33,1,11,0,0,0,0,0,1,
LED 34,1,12,1,563,291,585,305,1,
LED 35,1,13,1,589,291,611,305,1,
LED 36,1,14,1,615,291,637,305,1,
LED 37,1,15,1,641,291,663,305,1,
LED 38,1,16,0,0,0,0,0,1,
LED 39,1,17,1,667,291,685,305,1,
LED 40,1,18,1,689,291,706,305,1,
LED 41,1,19,1,710,291,728,305,1,
LED 42,1,20,1,731,291,749,305,1,
LED 43,2,0,1,289,309,311,330,1,
LED 44,2,1,1,315,309,336,330,1,
LED 45,2,2,1,340,309,362,330,1,
LED 46,2,3,1,366,309,388,330,1,
LED 47,2,4,1,391,309,413,330,1,
LED 48,2,5,1,417,309,439,330,1,
LED 49,2,6,1,443,309,464,330,1,
LED 50,2,7,1,468,309,490,330,1,
LED 51,2,8,1,494,309,515,330,1,
LED 52,2,9,1,519,309,541,330,1,
LED 53,2,10,1,545,309,567,330,1,
LED 54,2,11,1,571,309,592,330,1,
LED 55,2,12,1,596,309,618,330,1,
LED 56,2,13,0,0,0,0,0,1,
LED 57,2,14,1,622,309,663,330,1,
LED 58,2,15,0,0,0,0,0,1,
LED 59,2,16,0,0,0,0,0,1,
LED 60,2,17,1,667,309,685,330,1,
LED 61,2,18,1,689,309,706,330,1,
LED 62,2,19,1,710,309,728,330,1,
LED 63,2,20,1,731,309,749,330,1,
LED 64,3,0,1,289,334,324,355,1,
LED 65,3,1,1,328,334,349,355,1,
LED 66,3,2,1,353,334,375,355,1,
LED 67,3,3,1,379,334,400,355,1,
LED 68,3,4,1,404,334,426,355,1,
LED 69,3,5,1,430,334,451,355,1,
LED 70,3,6,1,455,334,477,355,1,
LED 71,3,7,1,481,334,503,355,1,
LED 72,3,8,1,507,334,528,355,1,
LED 73,3,9,1,532,334,554,355,1,
LED 74,3,10,1,558,334,579,355,1,
LED 75,3,11,1,583,334,605,355,1,
LED 76,3,12,1,609,334,631,355,1,
LED 77,3,13,0,0,0,0,0,1,
LED 78,3,14,0,0,0,0,0,1,
LED 79,3,15,1,634,334,663,355,1,
LED 80,3,16,0,0,0,0,0,1,
LED 81,3,17,1,667,334,685,355,1,
LED 82,3,18,1,689,334,706,355,1,
LED 83,3,19,1,710,334,728,355,1,
LED 84,3,20,1,731,334,749,380,1,
LED 85,4,0,1,289,359,330,380,1,
LED 86,4,1,1,334,359,356,380,1,
LED 87,4,2,1,360,359,381,380,1,
LED 88,4,3,1,385,359,407,380,1,
LED 89,4,4,1,411,359,432,380,1,
LED 90,4,5,1,436,359,458,380,1,
LED 91,4,6,1,462,359,483,380,1,
LED 92,4,7,1,487,359,509,380,1,
LED 93,4,8,1,513,359,535,380,1,
LED 94,4,9,1,539,359,560,380,1,
LED 95,4,10,1,564,359,586,380,1,
LED 96,4,11,1,590,359,611,380,1,
LED 97,4,12,0,0,0,0,0,1,
LED 98,4,13,0,0,0,0,0,1,
LED 99,4,14,1,615,359,663,380,1,
LED 100,4,15,0,0,0,0,0,1,
LED 101,4,16,0,0,0,0,0,1,
LED 102,4,17,1,667,359,685,380,1,
LED 103,4,18,1,689,359,706,380,1,
LED 104,4,19,1,710,359,728,380,1,
LED 105,4,20,0,0,0,0,0,1,
LED 106,5,0,1,289,384,343,405,1,
LED 107,5,1,0,0,0,0,0,1,
LED 108,5,2,1,347,384,368,405,1,
LED 109,5,3,1,372,384,394,405,1,
LED 110,5,4,1,398,384,420,405,1,
LED 111,5,5,1,423,384,445,405,1,
LED 112,5,6,1,449,384,471,405,1,
LED 113,5,7,1,475,384,496,405,1,
LED 114,5,8,1,500,384,522,405,1,
LED 115,5,9,1,526,384,547,405,1,
LED 116,5,10,1,551,384,573,405,1,
LED 117,5,11,1,577,384,599,405,1,
LED 118,5,12,0,0,0,0,0,1,
LED 119,5,13,1,602,384,663,405,1,
LED 120,5,14,0,0,0,0,0,1,
LED 121,5,15,0,0,0,0,0,1,
LED 122,5,16,0,0,0,0,0,1,
LED 123,5,17,1,667,384,685,405,1,
LED 124,5,18,1,689,384,706,405,1,
LED 125,5,19,1,710,384,728,405,1,
LED 126,5,20,1,731,384,749,430,1,
LED 127,6,0,1,289,409,317,430,1,
LED 128,6,1,1,321,409,343,430,1,
LED 129,6,2,1,347,409,368,430,1,
LED 130,6,3,1,372,409,394,430,1,
LED 131,6,4,0,0,0,0,0,1,
LED 132,6,5,0,0,0,0,0,1,
LED 133,6,6,1,398,409,522,436,1,
LED 134,6,7,0,0,0,0,0,1,
LED 135,6,8,0,0,0,0,0,1,
LED 136,6,9,0,0,0,0,0,1,
LED 137,6,10,1,526,409,547,430,1,
LED 138,6,11,1,551,409,573,430,1,
LED 139,6,12,0,0,0,0,0,1,
LED 140,6,13,1,577,409,599,430,1,
LED 141,6,14,1,602,409,663,430,1,
LED 142,6,15,0,0,0,0,0,1,
LED 143,6,16,0,0,0,0,0,1,
LED 144,6,17,1,667,409,685,430,1,
LED 145,6,18,1,689,409,706,430,1,
LED 146,6,19,1,710,409,728,430,1,
LED 147,6,20,0,0,0,0,0,1,
LED 148,7,0,0,0,0,0,0,1,
LED 149,7,1,0,0,0,0,0,1,
LED 150,7,2,0,0,0,0,0,1,
LED 151,7,3,0,0,0,0,0,1,
LED 152,7,4,0,0,0,0,0,1,
LED 153,7,5,0,0,0,0,0,1,
LED 154,7,6,0,0,0,0,0,1,
LED 155,7,7,0,0,0,0,0,1,
LED 156,7,8,0,0,0,0,0,1,
LED 157,7,9,0,0,0,0,0,1,
LED 158,7,10,0,0,0,0,0,1,
LED 159,7,11,0,0,0,0,0,1,
LED 160,7,12,0,0,0,0,0,1,
LED 161,7,13,0,0,0,0,0,1,
LED 162,7,14,0,0,0,0,0,1,
LED 163,7,15,0,0,0,0,0,1,
LED 164,7,16,1,645,434,663,455,1,
LED 165,7,17,1,667,434,685,455,1,
LED 166,7,18,1,689,434,706,455,1,
LED 167,7,19,0,0,0,0,0,1,
LED 168,7,20,1,246,21,385,116,1,LOGO
