Model,ROG RAMPAGE VI EXTREME OMEGA,,,,,,,,
,,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,PNG,Z_index
LED 0,0,0,1,177,220,216,259,Omega_led01.png,0
LED 1,5,5,1,213,260,253,300,Omega_led02.png,0
LED 2,20,20,1,384,455,558,475,,0
LED 3,25,25,1,399,475,553,510,,0
LED 4,30,30,1,435,510,534,545,,0
LED 5,40,0,1,593,179,601,235,,0
LED 6,40,5,1,593,241,601,298,,0
LED 7,40,10,1,593,303,601,360,,0
LED 8,40,15,1,593,366,601,422,,0
LED 9,40,20,1,593,428,601,485,,0
LED 10,40,25,1,593,491,601,547,,0
LED 11,40,30,1,593,553,601,610,,0
