Model,GL12CM,,,,,,
UI_width,25,,,,,,
UI_height,5,,,,,,
,,,,,,,
Parameters,grid_x,grid_y,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index
LED 1,0,0,,,,,1
LED 2,1,0,,,,,1
LED 3,2,0,,,,,1
LED 4,3,0,,,,,1
LED 5,4,0,,,,,1
LED 6,5,0,,,,,1
LED 7,6,0,,,,,1
LED 8,7,0,,,,,1
LED 9,8,0,,,,,1
LED 10,9,0,,,,,1
LED 11,10,0,,,,,1
LED 12,11,0,,,,,1
LED 13,12,0,,,,,1
LED 14,13,0,,,,,1
LED 15,13,0,,,,,1
LED 16,13,0,,,,,1
LED 17,3,0,,,,,1
LED 18,4,0,,,,,1
LED 19,5,0,,,,,1
LED 20,6,0,,,,,1
LED 21,7,0,,,,,1
LED 22,8,0,,,,,1
LED 23,9,0,,,,,1
LED 24,10,0,,,,,1
LED 25,11,0,,,,,1
